Duration,Amount,History,EmpStatus,Gender,Age,Rating
36,4210,PaidDuly,lessFour,Male,26,Bad
9,2507,PaidDuly,moreSeven,Male,51,Good
12,2141,PaidDuly,lessSeven,Male,35,Good
18,866,PaidDuly,lessFour,Male,25,Good
4,1544,Critical,lessSeven,Male,42,Good
24,1823,PaidDuly,UnEmp,Male,30,Bad
6,14555,PaidDuly,UnEmp,Male,23,Bad
21,2767,PaidDuly,moreSeven,Male,61,Bad
12,1291,Critical,lessFour,Female,35,Good
30,2522,PaidDuly,moreSeven,Male,39,Good
24,915,PaidDuly,moreSeven,Female,29,Bad
6,1595,PaidDuly,lessSeven,Male,51,Good
48,4605,NoCredit,moreSeven,Male,24,Bad
12,1185,Critical,lessFour,Female,27,Good
12,3447,CreditPaid,lessFour,Female,35,Good
24,1258,PaidDuly,lessSeven,Male,25,Good
12,717,Critical,moreSeven,Male,52,Good
6,1204,NoCredit,lessFour,Male,35,Good
24,1925,PaidDuly,lessFour,Male,26,Good
18,433,PaidDuly,UnEmp,Female,22,Bad
6,666,Critical,lessSeven,Female,39,Good
12,2251,PaidDuly,lessFour,Female,46,Good
30,2150,PaidDuly,lessFour,Female,24,Bad
24,4151,PayDelay,lessFour,Male,35,Good
9,2030,PaidDuly,lessSeven,Male,24,Good
60,7418,PayDelay,lessFour,Male,27,Good
24,2684,Critical,lessFour,Male,35,Good
12,2149,CreditPaid,lessFour,Male,29,Bad
15,3812,PaidDuly,lessOne,Female,23,Good
11,1154,Critical,UnEmp,Female,57,Good
12,1657,PaidDuly,lessFour,Male,27,Good
24,1603,PaidDuly,moreSeven,Female,55,Good
18,5302,Critical,moreSeven,Male,36,Good
12,2748,Critical,moreSeven,Female,57,Good
10,1231,Critical,moreSeven,Male,32,Good
15,802,PaidDuly,moreSeven,Male,37,Bad
36,6304,Critical,moreSeven,Male,36,Good
24,1533,PaidDuly,lessOne,Female,38,Good
14,8978,PaidDuly,moreSeven,Male,45,Bad
24,999,PaidDuly,moreSeven,Male,25,Good
18,2662,PaidDuly,lessSeven,Male,32,Good
12,1402,Critical,lessSeven,Female,37,Good
48,12169,CreditPaid,UnEmp,Male,36,Good
48,3060,PaidDuly,lessSeven,Male,28,Bad
30,11998,PaidDuly,lessOne,Male,34,Bad
9,2697,PaidDuly,lessFour,Male,32,Good
18,2404,Critical,lessFour,Female,26,Good
12,1262,PaidDuly,moreSeven,Male,49,Good
6,4611,PaidDuly,lessOne,Female,32,Bad
24,1901,PaidDuly,lessFour,Male,29,Good
15,3368,Critical,moreSeven,Male,23,Good
12,1574,PaidDuly,lessFour,Male,50,Good
18,1445,CreditPaid,lessSeven,Male,49,Good
15,1520,Critical,moreSeven,Male,63,Good
24,3878,Critical,lessOne,Male,37,Good
47,10722,PaidDuly,lessOne,Female,35,Good
48,4788,PaidDuly,lessSeven,Male,26,Good
48,7582,PayDelay,UnEmp,Male,31,Good
12,1092,PaidDuly,lessFour,Female,49,Good
24,1024,PayDelay,lessOne,Male,48,Bad
12,1076,PaidDuly,lessFour,Male,26,Good
36,9398,PaidDuly,lessOne,Male,28,Bad
24,6419,Critical,moreSeven,Female,44,Good
42,4796,Critical,moreSeven,Male,56,Good
48,7629,Critical,moreSeven,Male,46,Good
48,9960,PaidDuly,lessOne,Female,26,Bad
12,4675,PaidDuly,lessOne,Female,20,Good
10,1287,PaidDuly,moreSeven,Male,45,Good
18,2515,PaidDuly,lessFour,Male,43,Good
21,2745,Critical,lessSeven,Male,32,Good
6,672,PaidDuly,UnEmp,Female,54,Good
36,3804,NoCredit,lessFour,Female,42,Bad
24,1344,Critical,lessSeven,Male,37,Bad
10,1038,Critical,lessSeven,Male,49,Good
48,10127,Critical,lessFour,Male,44,Bad
6,1543,PaidDuly,lessFour,Male,33,Good
30,4811,PaidDuly,lessSeven,Female,24,Good
12,727,PaidDuly,lessOne,Male,33,Bad
8,1237,PaidDuly,lessFour,Female,24,Bad
9,276,PaidDuly,lessFour,Male,22,Good
48,5381,PaidDuly,UnEmp,Male,40,Good
24,5511,PaidDuly,lessFour,Male,25,Good
24,3749,PaidDuly,lessOne,Female,26,Good
12,685,PaidDuly,lessSeven,Male,25,Bad
4,1494,PaidDuly,lessOne,Male,29,Good
36,2746,CreditPaid,moreSeven,Male,31,Bad
12,708,PaidDuly,lessFour,Male,38,Good
24,4351,PaidDuly,lessFour,Female,48,Good
12,701,Critical,lessFour,Male,32,Good
15,3643,PayDelay,moreSeven,Female,27,Good
30,4249,Critical,UnEmp,Male,28,Bad
24,1938,PaidDuly,lessOne,Male,32,Bad
24,2910,PaidDuly,lessSeven,Male,34,Good
18,2659,PaidDuly,lessFour,Male,28,Good
18,1028,Critical,lessFour,Female,36,Good
8,3398,Critical,lessSeven,Male,39,Good
12,5801,Critical,moreSeven,Male,49,Good
24,1525,PaidDuly,lessSeven,Female,34,Good
36,4473,PaidDuly,moreSeven,Male,31,Good
6,1068,PaidDuly,moreSeven,Male,28,Good
24,6615,Critical,UnEmp,Male,75,Good
18,1864,Critical,lessFour,Female,30,Bad
60,7408,PaidDuly,lessOne,Female,24,Bad
48,11590,Critical,lessFour,Female,24,Bad
24,4110,NoCredit,moreSeven,Male,23,Bad
6,3384,Critical,lessFour,Male,44,Bad
13,2101,PaidDuly,lessOne,Female,23,Good
15,1275,PaidDuly,lessFour,Female,24,Bad
24,4169,PaidDuly,lessFour,Male,28,Good
10,1521,PaidDuly,lessFour,Male,31,Good
24,5743,Critical,lessOne,Female,24,Good
21,3599,PaidDuly,lessSeven,Female,26,Good
18,3213,PaidDuly,lessOne,Male,25,Good
18,4439,PaidDuly,moreSeven,Male,33,Good
10,3949,PaidDuly,lessOne,Male,37,Good
15,1459,Critical,lessFour,Female,43,Good
13,882,Critical,lessOne,Male,23,Good
24,3758,PaidDuly,UnEmp,Female,23,Good
6,1743,PayDelay,lessFour,Male,34,Good
9,1136,Critical,moreSeven,Male,32,Bad
9,1236,PaidDuly,lessOne,Female,23,Good
9,959,PaidDuly,lessFour,Female,29,Bad
18,3229,Critical,UnEmp,Male,38,Good
12,6199,NoCredit,lessFour,Male,28,Bad
10,727,PaidDuly,moreSeven,Male,46,Good
24,1246,PaidDuly,lessOne,Male,23,Bad
12,2331,Critical,moreSeven,Male,49,Good
36,4463,PayDelay,lessFour,Male,26,Bad
12,776,PaidDuly,lessFour,Male,28,Good
30,2406,PaidDuly,lessSeven,Female,23,Bad
18,1239,PaidDuly,lessFour,Male,61,Good
12,3399,PaidDuly,moreSeven,Male,37,Good
12,2247,PayDelay,lessFour,Female,36,Good
6,1766,PaidDuly,lessFour,Male,21,Good
18,2473,PaidDuly,UnEmp,Male,25,Bad
12,1542,PaidDuly,lessSeven,Male,36,Good
18,3850,Critical,lessSeven,Male,27,Good
18,3650,PaidDuly,lessOne,Female,22,Good
36,3446,PaidDuly,moreSeven,Male,42,Bad
18,3001,PaidDuly,lessSeven,Female,40,Good
36,3079,PaidDuly,lessFour,Male,36,Good
18,6070,Critical,moreSeven,Male,33,Good
10,2146,Critical,lessOne,Female,23,Good
60,13756,Critical,moreSeven,Male,63,Good
60,14782,CreditPaid,moreSeven,Female,60,Bad
48,7685,CreditPaid,lessSeven,Female,37,Bad
18,2320,PayDelay,UnEmp,Male,34,Good
7,846,PayDelay,moreSeven,Male,36,Good
36,14318,PaidDuly,moreSeven,Male,57,Bad
6,362,Critical,lessFour,Female,52,Good
20,2212,PaidDuly,lessSeven,Male,39,Good
18,12976,PaidDuly,UnEmp,Female,38,Bad
22,1283,PaidDuly,lessSeven,Female,25,Good
12,1330,PaidDuly,lessOne,Male,26,Good
30,4272,PayDelay,lessFour,Male,26,Good
18,2238,Critical,lessFour,Female,25,Good
18,1126,PaidDuly,lessOne,Female,21,Good
18,7374,Critical,UnEmp,Male,40,Good
15,2326,Critical,lessFour,Male,27,Good
9,1449,PaidDuly,lessSeven,Female,27,Good
18,1820,PaidDuly,lessFour,Male,30,Good
12,983,PaidDuly,lessOne,Female,19,Good
36,3249,PaidDuly,lessSeven,Male,39,Good
6,1957,Critical,lessSeven,Female,31,Good
9,2406,Critical,UnEmp,Male,31,Good
39,11760,PayDelay,lessSeven,Male,32,Good
12,2578,PaidDuly,UnEmp,Female,55,Good
36,2348,Critical,lessFour,Male,46,Good
12,1223,PaidDuly,moreSeven,Male,46,Bad
24,1516,Critical,lessFour,Female,43,Good
18,1473,PaidDuly,lessOne,Male,39,Good
18,1887,Critical,lessFour,Male,28,Good
24,8648,PayDelay,lessOne,Male,27,Bad
14,802,PayDelay,lessFour,Male,27,Good
18,2899,PayDelay,moreSeven,Male,43,Good
24,2039,PaidDuly,lessOne,Male,22,Bad
24,2197,Critical,lessSeven,Male,43,Good
15,1053,PaidDuly,lessOne,Male,27,Good
24,3235,PaidDuly,moreSeven,Male,26,Good
12,939,Critical,lessSeven,Male,28,Bad
24,1967,PaidDuly,moreSeven,Female,20,Good
33,7253,Critical,lessSeven,Male,35,Good
12,2292,Critical,UnEmp,Male,42,Bad
10,1597,PaidDuly,lessFour,Male,40,Good
24,1381,PaidDuly,lessFour,Female,35,Bad
36,5842,Critical,moreSeven,Male,35,Good
12,2579,PaidDuly,lessOne,Male,33,Bad
18,8471,PayDelay,lessFour,Female,23,Good
21,2782,PaidDuly,lessSeven,Female,31,Good
18,1042,PaidDuly,lessFour,Female,33,Bad
15,3186,PaidDuly,lessSeven,Female,20,Good
12,2028,PaidDuly,lessFour,Male,30,Good
12,958,Critical,lessSeven,Male,47,Good
21,1591,PayDelay,lessSeven,Male,34,Good
12,2762,PaidDuly,moreSeven,Female,25,Bad
18,2779,PaidDuly,lessFour,Male,21,Good
28,2743,Critical,moreSeven,Male,29,Good
18,1149,Critical,lessFour,Male,46,Good
9,1313,PaidDuly,moreSeven,Male,20,Good
18,1190,Critical,UnEmp,Female,55,Bad
5,3448,PaidDuly,lessSeven,Male,74,Good
24,11328,PaidDuly,lessFour,Male,29,Bad
6,1872,Critical,UnEmp,Male,36,Good
24,2058,Critical,lessFour,Male,33,Good
9,2136,PaidDuly,lessFour,Male,25,Good
12,1484,PaidDuly,lessFour,Male,25,Bad
6,660,PaidDuly,lessSeven,Male,23,Good
24,1287,Critical,moreSeven,Female,37,Good
42,3394,Critical,UnEmp,Male,65,Good
12,609,CreditPaid,lessOne,Female,26,Bad
12,1884,PaidDuly,moreSeven,Male,39,Good
12,1620,PaidDuly,lessFour,Female,30,Good
20,2629,PayDelay,lessFour,Male,29,Good
12,719,PaidDuly,moreSeven,Male,41,Bad
48,5096,Critical,lessFour,Female,30,Bad
9,1244,Critical,moreSeven,Female,41,Good
36,1842,PaidDuly,lessOne,Female,34,Bad
7,2576,PaidDuly,lessFour,Male,35,Good
12,1424,PaidDuly,moreSeven,Female,55,Good
15,1512,PayDelay,lessFour,Male,61,Bad
36,11054,Critical,lessFour,Male,30,Good
6,518,PaidDuly,lessFour,Female,29,Good
12,2759,NoCredit,moreSeven,Male,34,Good
24,2670,PaidDuly,moreSeven,Male,35,Good
24,4817,PaidDuly,lessSeven,Male,31,Bad
24,2679,PaidDuly,lessOne,Female,29,Good
11,3905,Critical,lessFour,Male,36,Good
12,3386,PaidDuly,moreSeven,Male,35,Bad
6,343,PaidDuly,lessOne,Female,27,Good
18,4594,PaidDuly,lessOne,Male,32,Good
36,3620,PaidDuly,lessFour,Male,37,Good
15,1721,PaidDuly,lessOne,Male,36,Good
12,3017,PaidDuly,lessOne,Female,34,Good
12,754,PaidDuly,moreSeven,Male,38,Good
18,1950,PaidDuly,lessSeven,Male,34,Good
24,2924,PaidDuly,lessFour,Male,63,Good
24,1659,PayDelay,lessOne,Female,29,Bad
48,7238,PayDelay,moreSeven,Male,32,Good
33,2764,PayDelay,lessFour,Female,26,Good
24,4679,PayDelay,lessSeven,Male,35,Good
24,3092,PaidDuly,lessOne,Male,22,Bad
6,448,PaidDuly,lessOne,Female,23,Bad
9,654,PaidDuly,lessFour,Male,28,Bad
6,1238,PaidDuly,UnEmp,Male,36,Good
18,1245,Critical,lessFour,Male,33,Bad
18,3114,NoCredit,lessOne,Female,26,Bad
39,2569,PaidDuly,lessFour,Male,24,Good
24,5152,PaidDuly,lessSeven,Male,25,Good
12,1037,PaidDuly,lessSeven,Male,39,Good
15,1478,Critical,moreSeven,Male,44,Good
12,3573,Critical,lessFour,Female,23,Good
24,1201,PaidDuly,lessOne,Male,26,Good
30,3622,PaidDuly,moreSeven,Female,57,Good
15,960,PayDelay,lessSeven,Female,30,Good
12,1163,Critical,lessFour,Male,44,Good
6,1209,PayDelay,UnEmp,Male,47,Bad
12,3077,PaidDuly,lessFour,Male,52,Good
24,3757,PaidDuly,moreSeven,Female,62,Good
10,1418,PaidDuly,lessFour,Male,35,Good
6,3518,PaidDuly,lessFour,Male,26,Good
12,1934,Critical,moreSeven,Male,26,Good
27,8318,NoCredit,moreSeven,Female,42,Bad
6,1237,Critical,lessFour,Female,27,Good
6,368,PaidDuly,moreSeven,Male,38,Good
12,2122,Critical,lessFour,Male,39,Good
24,2996,PaidDuly,lessFour,Male,20,Bad
36,9034,PaidDuly,lessOne,Male,29,Bad
24,1585,Critical,lessSeven,Male,40,Good
18,1301,PaidDuly,moreSeven,Male,32,Good
6,1323,Critical,moreSeven,Male,28,Good
24,3123,PaidDuly,lessOne,Female,27,Bad
36,5493,PaidDuly,moreSeven,Male,42,Good
9,1126,PaidDuly,moreSeven,Male,49,Good
24,1216,Critical,lessOne,Male,38,Bad
24,1207,PaidDuly,lessOne,Female,24,Bad
10,1309,PaidDuly,lessFour,Male,27,Bad
15,2360,Critical,lessFour,Male,36,Good
15,6850,CreditPaid,UnEmp,Male,34,Bad
24,1413,PaidDuly,lessFour,Male,28,Good
39,8588,PaidDuly,moreSeven,Male,45,Good
12,759,PaidDuly,lessSeven,Male,26,Bad
36,4686,PaidDuly,lessFour,Male,32,Good
15,2687,PaidDuly,lessSeven,Male,26,Good
12,585,PayDelay,lessFour,Male,20,Good
24,2255,PaidDuly,lessOne,Male,54,Good
6,609,Critical,lessSeven,Female,37,Good
6,1361,Critical,lessOne,Male,40,Good
36,7127,Critical,lessOne,Female,23,Bad
6,1203,PaidDuly,moreSeven,Male,43,Good
6,700,Critical,moreSeven,Male,36,Good
24,5507,Critical,moreSeven,Male,44,Good
18,3190,PaidDuly,lessFour,Female,24,Bad
48,7119,NoCredit,lessFour,Male,53,Bad
24,3488,PaidDuly,lessSeven,Female,23,Good
18,1113,PaidDuly,lessFour,Female,26,Good
26,7966,PaidDuly,lessOne,Male,30,Good
15,1532,Critical,lessFour,Female,31,Good
4,1503,Critical,lessSeven,Male,42,Good
36,2302,PaidDuly,lessFour,Male,31,Bad
6,662,PaidDuly,lessOne,Male,41,Good
36,2273,PaidDuly,lessSeven,Male,32,Good
15,2631,PaidDuly,lessFour,Female,28,Bad
12,1503,PayDelay,lessFour,Male,41,Good
24,1311,PaidDuly,lessSeven,Male,26,Good
24,3105,PaidDuly,lessOne,Male,25,Good
21,2319,Critical,lessOne,Male,33,Bad
6,1374,PaidDuly,UnEmp,Female,75,Good
18,3612,Critical,moreSeven,Female,37,Good
48,7763,PaidDuly,moreSeven,Male,42,Bad
18,3049,PaidDuly,lessOne,Female,45,Good
12,1534,PaidDuly,lessOne,Male,23,Bad
24,2032,PayDelay,moreSeven,Male,60,Good
30,6350,PaidDuly,moreSeven,Male,31,Bad
18,2864,PaidDuly,lessFour,Male,34,Bad
12,1255,Critical,moreSeven,Male,61,Good
24,1333,PayDelay,UnEmp,Male,43,Bad
24,2022,Critical,lessFour,Female,37,Good
24,1552,PaidDuly,lessSeven,Male,32,Good
12,626,CreditPaid,lessFour,Female,24,Bad
48,8858,Critical,lessSeven,Male,35,Good
12,996,Critical,lessSeven,Female,23,Good
6,1750,CreditPaid,moreSeven,Male,45,Good
48,6999,PaidDuly,lessSeven,Male,34,Bad
12,1995,Critical,lessOne,Male,27,Good
9,1199,PaidDuly,lessSeven,Female,67,Good
12,1331,PaidDuly,lessOne,Male,22,Bad
18,2278,NoCredit,lessOne,Female,28,Bad
21,5003,NoCredit,lessFour,Female,29,Bad
24,3552,CreditPaid,lessSeven,Male,27,Bad
18,1928,Critical,lessOne,Male,31,Bad
24,2964,PaidDuly,moreSeven,Male,49,Good
24,1546,CreditPaid,lessSeven,Male,24,Bad
6,683,PayDelay,lessOne,Female,29,Good
36,12389,PaidDuly,lessFour,Male,37,Bad
24,4712,PayDelay,lessFour,Male,37,Good
24,1553,PayDelay,lessSeven,Female,23,Good
